epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3183.15,0.60154,0.33421,0.81029,0.99125,0.98292,0.99307,0.85141,0.61079,0.33529,0.8156,0.000614,0.000614,0.000614
44,3214.97,0.60276,0.33095,0.81109,0.99275,0.98241,0.99305,0.84726,0.61292,0.33097,0.81522,0.000581,0.000581,0.000581
45,3252.34,0.58062,0.3235,0.808,0.99005,0.98596,0.99334,0.85612,0.58629,0.32454,0.81317,0.000548,0.000548,0.000548
46,3288.91,0.5688,0.32001,0.80879,0.98974,0.98625,0.99352,0.85958,0.58614,0.31761,0.81159,0.000515,0.000515,0.000515
47,3330.57,0.56496,0.31733,0.80859,0.99195,0.98424,0.99326,0.85804,0.58632,0.31522,0.8125,0.000482,0.000482,0.000482
48,3371.53,0.56775,0.31576,0.80741,0.98876,0.98702,0.99351,0.85403,0.60605,0.31853,0.81389,0.000449,0.000449,0.000449
49,3425.33,0.57329,0.31904,0.80832,0.98953,0.98452,0.993,0.85082,0.60752,0.32523,0.81478,0.000416,0.000416,0.000416
50,3560.81,0.55492,0.31319,0.80824,0.99146,0.98568,0.99353,0.8592,0.58773,0.31602,0.81269,0.000383,0.000383,0.000383
51,3607.75,0.54266,0.30981,0.8083,0.99205,0.98231,0.99303,0.85772,0.59406,0.32089,0.81406,0.00035,0.00035,0.00035
52,3628.96,0.53335,0.30455,0.80541,0.99124,0.98405,0.99342,0.86153,0.57319,0.3144,0.81184,0.000317,0.000317,0.000317
53,3650.5,0.52685,0.30204,0.80922,0.99081,0.98463,0.99341,0.86032,0.57537,0.31088,0.81203,0.000284,0.000284,0.000284
54,3671.94,0.53206,0.30031,0.8046,0.99196,0.98485,0.99358,0.86198,0.58496,0.31533,0.81296,0.000251,0.000251,0.000251
55,3693.36,0.5328,0.30169,0.80516,0.99045,0.98564,0.99353,0.86633,0.56929,0.31397,0.81214,0.000218,0.000218,0.000218
56,3714.87,0.53349,0.30274,0.80516,0.99124,0.98453,0.99358,0.86908,0.56135,0.30854,0.81171,0.000185,0.000185,0.000185
57,3736.31,0.52259,0.29654,0.80508,0.9913,0.98524,0.9936,0.86327,0.57401,0.31074,0.8118,0.000152,0.000152,0.000152
58,3757.74,0.51128,0.29139,0.80674,0.99121,0.98605,0.99356,0.86469,0.57261,0.30635,0.81214,0.000119,0.000119,0.000119
59,3779.13,0.51632,0.29462,0.80284,0.99118,0.98544,0.99364,0.86632,0.55902,0.30288,0.81159,8.6e-05,8.6e-05,8.6e-05
60,3801.05,0.50855,0.29014,0.80669,0.99106,0.98675,0.99361,0.86572,0.56575,0.30504,0.81243,5.3e-05,5.3e-05,5.3e-05
